,Company,Company Description,Date Victimised,No of views,Comment
79,ROBERT L BAYLESS PRODUCER LLC,"Robert L. Bayless, Producer LLC is a privately owned oil and natural gas company engaged in exploration and production
activities in the southern and central Rocky Mountain Region with offices in Denver, Colorado and Farmington, New Mexico", 14.07.23, 63426,"er 150 GB of archived data,,Company internal documents,Geological exploration of various oil basins,Work Reports,Settlements with employees and contractors,Contracts,Correspondence,Analyzes,Personal data from employees' computers,Personal data of partner companies: employees, company affiliation,email address, phone number, position,,https://anonfiles.com/Cewcwa20za/10_0_0_2_D_part004_rar,https://anonfiles.com/Y8w3w229z1/10_0_0_2_D_part002_rar,https://anonfiles.com/c7xbwd2dz0/10_0_0_2_D_part001_rar,https://anonfiles.com/dcx7wc27z0/10_0_0_2_D_part003_rar,https://anonfiles.com/e4xewa26ze/10_0_0_2_D_part005_rar,https://anonfiles.com/W0y0wc2fz5/10_0_0_2_D_part006_rar,https://anonfiles.com/c8z3we2ez2/10_0_0_2_D_part007_rar,https://anonfiles.com/nezdw124z6/10_0_0_2_D_part009_rar,https://anonfiles.com/s0zbwb24za/10_0_0_2_D_part008_rar,https://anonfiles.com/z4zcwe29za/10_0_0_2_D_part010_rar,https://anonfiles.com/W52bw128zb/10_0_0_2_D_part011_rar,https://anonfiles.com/f43bwe2ez1/10_0_0_2_D_part012_rar,https://anonfiles.com/U73fwa22z1/10_0_0_2_D_part013_rar,https://anonfiles.com/ic42w62az2/10_0_0_2_D_part015_rar,https://anonfiles.com/lb47w82dz1/10_0_0_2_D_part014_rar,https://anonfiles.com/G669wb2fze/10_0_0_2_D_part016_rar,https://anonfiles.com/Ke6cw320z3/10_0_0_2_D_part017_rar,https://anonfiles.com/q675wd2bz0/10_0_0_2_D_part018_rar,https://anonfiles.com/597fw423z3/10_0_0_2_D_part019_rar,https://anonfiles.com/7c77w323ze/10_0_0_2_D_part020_rar,https://anonfiles.com/4882w228zc/10_0_0_2_D_part021_rar,https://anonfiles.com/C983w829z8/10_0_0_2_D_part022_rar,https://anonfiles.com/Ja9awd29za/10_0_0_2_D_part023_rar,https://anonfiles.com/M092w42aza/10_0_0_2_D_part024_rar,https://anonfiles.com/abA0w625z9/10_0_0_2_D_part025_rar,https://anonfiles.com/L8A8w52cz1/10_0_0_2_D_part026_rar,https://anonfiles.com/QfA8we2ez1/10_0_0_2_D_part027_rar,https://anonfiles.com/v1B9w125za/10_0_0_2_D_part028_rar,https://anonfiles.com/33B7wa22z8/10_0_0_2_D_part029_rar,https://anonfiles.com/M6Bbw623z5/10_0_0_2_D_part030_rar,https://anonfiles.com/06C5wa2fzd/10_0_0_2_D_part031_rar,https://anonfiles.com/vdDcw32ez9/10_0_0_2_D_part032_rar,https://anonfiles.com/O6Dew52ez2/10_0_0_2_D_part033_rar,https://anonfiles.com/Q3D9w426zf/10_0_0_2_D_part034_rar,https://anonfiles.com/heEfw52azb/10_0_0_2_D_part035_rar,https://anonfiles.com/A7Efw82ez9/10_0_0_2_D_part036_rar,https://anonfiles.com/maF6w62fz0/10_0_0_2_D_part037_rar,https://anonfiles.com/LbG9wc27z3/10_0_0_2_D_part039_rar,https://anonfiles.com/S3G0w026z6/10_0_0_2_D_part038_rar,https://anonfiles.com/1bH5w52dz2/10_0_0_2_D_part040_rar,https://anonfiles.com/O5Hfwc24ze/10_0_0_2_D_part041_rar,https://anonfiles.com/A7Jbw323z5/10_0_0_2_D_part042_rar,https://anonfiles.com/JcKdw92azf/10_0_0_2_D_part043_rar,https://anonfiles.com/OaK1w621zc/10_0_0_2_D_part044_rar,https://anonfiles.com/k9L0we25z3/10_0_0_2_D_part045_rar,https://anonfiles.com/p2L1wd2bz6/10_0_0_2_D_part046_rar,https://anonfiles.com/w1M3wf29z6/10_0_0_2_D_part047_rar,https://anonfiles.com/V3M2w427zf/10_0_0_2_D_part048_rar,https://anonfiles.com/e1N3w121za/10_0_0_2_D_part049_rar,https://anonfiles.com/A3Ndw72bz4/10_0_0_2_D_part051_rar,https://anonfiles.com/I9New12cz5/10_0_0_2_D_part050_rar,https://anonfiles.com/BcObw720z1/10_0_0_2_D_part052_rar,https://anonfiles.com/mdP6wc24zb/10_0_0_2_D_part053_rar,https://anonfiles.com/y9P1w325z3/10_0_0_2_D_part054_rar,https://anonfiles.com/O0Pewd22z1/10_0_0_2_D_part055_rar,https://anonfiles.com/WfPcw628zb/10_0_0_2_D_part056_rar,https://anonfiles.com/x2Q3wa24z5/10_0_0_2_D_part057_rar,https://anonfiles.com/LeQewf24zd/10_0_0_2_D_part058_rar,https://anonfiles.com/S2Qcw328z6/10_0_0_2_D_part059_rar,https://anonfiles.com/g3R8w92bz6/10_0_0_2_D_part060_rar,https://anonfiles.com/qdR5w923za/10_0_0_2_D_part061_rar,https://anonfiles.com/IeR0w028z3/10_0_0_2_D_part062_rar,https://anonfiles.com/n6Sdw026z6/10_0_0_2_D_part063_rar,https://anonfiles.com/4dS6wf29z0/10_0_0_2_D_part064_rar,https://anonfiles.com/G7S3w721zc/10_0_0_2_D_part065_rar,https://anonfiles.com/L8S9w128z6/10_0_0_2_D_part066_rar,https://anonfiles.com/kbTfw02bz7/10_0_0_2_D_part067_rar,https://anonfiles.com/GeTcw52dza/10_0_0_2_D_part068_rar,https://anonfiles.com/b5Uew021z0/10_0_0_2_D_part069_rar,https://anonfiles.com/m7Uaw622z4/10_0_0_2_D_part070_rar,https://anonfiles.com/reUdw424zd/10_0_0_2_D_part071_rar,https://anonfiles.com/EaU1wa25z2/10_0_0_2_D_part072_rar,https://anonfiles.com/SeU3wd25z3/10_0_0_2_D_part073_rar,https://anonfiles.com/o3Vcwe25zd/10_0_0_2_D_part074_rar,https://anonfiles.com/w3Vcw12ez0/10_0_0_2_D_part075_rar,https://anonfiles.com/49V5w722z9/10_0_0_2_D_part076_rar,https://anonfiles.com/00Wdw427zd/10_0_0_2_D_part077_rar,https://anonfiles.com/R8Wfw524z6/10_0_0_2_D_part078_rar,https://anonfiles.com/61X4w926z7/10_0_0_2_D_part079_rar,https://anonfiles.com/95Xcw126z8/10_0_0_2_D_part080_rar,https://anonfiles.com/G3X8wa2bzb/10_0_0_2_D_part081_rar,https://anonfiles.com/c4a1xe29z0/10_0_0_2_D_part082_rar,https://anonfiles.com/1eadx224z9/10_0_0_2_D_part083_rar,https://anonfiles.com/n6b3x128z2/10_0_0_2_D_part085_rar,https://anonfiles.com/tab6xa2dz3/10_0_0_2_D_part084_rar,https://anonfiles.com/P1bfx92dze/10_0_0_2_D_part086_rar,https://anonfiles.com/t4dax624z8/10_0_0_2_D_part087_rar,https://anonfiles.com/71dex92dz2/10_0_0_2_D_part088_rar,https://anonfiles.com/j9e7xb23z2/10_0_0_2_D_part089_rar,https://anonfiles.com/u8ecxc25z4/10_0_0_2_D_part090_rar,https://anonfiles.com/Cfe2x72ez8/10_0_0_2_D_part091_rar,https://anonfiles.com/a9gbxa2bz6/10_0_0_2_D_part092_rar,https://anonfiles.com/edg9xa22zd/10_0_0_2_D_part093_rar,https://anonfiles.com/A6g2x92ez7/10_0_0_2_D_part095_rar,https://anonfiles.com/Cegdx924z5/10_0_0_2_D_part094_rar,https://anonfiles.com/V5g1x426z7/10_0_0_2_D_part096_rar,https://anonfiles.com/Wah6x823z0/10_0_0_2_D_part097_rar,https://anonfiles.com/Xfh4xf2dzf/10_0_0_2_D_part098_rar,https://anonfiles.com/12i2x029z4/10_0_0_2_D_part100_rar,https://anonfiles.com/2fi6x329z4/10_0_0_2_D_part099_rar,https://anonfiles.com/E2ibx52bz4/10_0_0_2_D_part101_rar,https://anonfiles.com/R9jcxc26zb/10_0_0_2_D_part102_rar,https://anonfiles.com/Yaj4xd29z7/10_0_0_2_D_part103_rar,https://anonfiles.com/w2k9x624z2/10_0_0_2_D_part104_rar,https://anonfiles.com/zak1x825ze/10_0_0_2_D_part105_rar,https://anonfiles.com/F1k5xc2ez2/10_0_0_2_D_part106_rar,https://anonfiles.com/d0m4x82cz8/10_0_0_2_D_part107_rar,https://anonfiles.com/i0m7x324z3/10_0_0_2_D_part108_rar,https://anonfiles.com/2bm2x025z2/10_0_0_2_D_part109_rar,https://anonfiles.com/97m0x12ezb/10_0_0_2_D_part110_rar,https://anonfiles.com/Nam7xd21z9/10_0_0_2_D_part111_rar,https://anonfiles.com/55n5xf25z9/10_0_0_2_D_part112_rar,https://anonfiles.com/Acnexe2fz4/10_0_0_2_D_part113_rar,https://anonfiles.com/M7n4xc22z1/10_0_0_2_D_part114_rar,https://anonfiles.com/d3o9xe2bzf/10_0_0_2_D_part115_rar,https://anonfiles.com/t1o0xd29z7/10_0_0_2_D_part116_rar,https://anonfiles.com/21pcxc26zb/10_0_0_2_D_part117_rar,https://anonfiles.com/85p3x723zc/10_0_0_2_D_part118_rar,https://anonfiles.com/g3qbx526zb/10_0_0_2_D_part119_rar,https://anonfiles.com/u0qbx02fz2/10_0_0_2_D_part120_rar,https://anonfiles.com/Daq0x429z4/10_0_0_2_D_part121_rar,https://anonfiles.com/48rdxe21zd/10_0_0_2_D_part122_rar,https://anonfiles.com/C8rax222z4/10_0_0_2_D_part123_rar,https://anonfiles.com/ncs8x924zf/10_0_0_2_D_part124_rar,https://anonfiles.com/q2s9xa25z8/10_0_0_2_D_part125_rar,https://anonfiles.com/Jbsdxe27z3/10_0_0_2_D_part126_rar,https://anonfiles.com/47t3x323ze/10_0_0_2_D_part127_rar,https://anonfiles.com/Adt5x120za/10_0_0_2_D_part128_rar,https://anonfiles.com/i3u1xd28z3/10_0_0_2_D_part129_rar,https://anonfiles.com/l0u9x825z0/10_0_0_2_D_part130_rar,https://anonfiles.com/M3u9xe21zc/10_0_0_2_D_part131_rar,https://anonfiles.com/y4vexe26zc/10_0_0_2_D_part132_rar,https://anonfiles.com/2avexe2czb/10_0_0_2_D_part133_rar,https://anonfiles.com/0bw8xc2dza/10_0_0_2_D_part134_rar,https://anonfiles.com/5aw6xa2aze/10_0_0_2_D_part135_rar,https://anonfiles.com/V3wexa29zb/10_0_0_2_D_part136_rar,https://anonfiles.com/R1x6x22az0/10_0_0_2_D_part137_rar,https://anonfiles.com/S0x9x62ez5/10_0_0_2_D_part138_rar,https://anonfiles.com/F5y8xd27z1/10_0_0_2_D_part140_rar,https://anonfiles.com/J0ycx727ze/10_0_0_2_D_part139_rar,https://anonfiles.com/a7z6x52az7/10_0_0_2_D_part141_rar,https://anonfiles.com/ma00xf22z5/10_0_0_2_D_part142_rar,https://anonfiles.com/r904x32eze/10_0_0_2_D_part143_rar,https://anonfiles.com/K00axe2bz9/10_0_0_2_D_part144_rar,https://anonfiles.com/f218x12az9/10_0_0_2_D_part145_rar,https://anonfiles.com/l210xa22zd/10_0_0_2_D_part146_rar,https://anonfiles.com/P710x32ezc/10_0_0_2_D_part147_rar,https://anonfiles.com/d820x622zd/10_0_0_2_D_part148_rar,https://anonfiles.com/Lb20xa2ez6/10_0_0_2_D_part149_rar,https://anonfiles.com/k036x126z8/10_0_0_2_D_part150_rar,https://anonfiles.com/vb36x022z1/10_0_0_2_D_part151_rar,https://anonfiles.com/B943xd24za/10_0_0_2_D_part152_rar,https://anonfiles.com/Le49xd20ze/10_0_0_2_D_part153_rar,https://anonfiles.com/U74fx426z6/10_0_0_2_D_part155_rar,https://anonfiles.com/le55x726z7/10_0_0_2_D_part154_rar"
80,KIRWIN FRYDAY MEDCALF Lawyers LLP,"The company provide a full range of services in real estate law including residential and commercial sales, purchases and mortgages.
The firm also provides comprehensive services in the corporate commercial area including incorporation of businesses,
both large and small, acquisition and sales of small businesses and generally assisting our clientele to grow and prosper", 13.07.2023, 65309,"d.com/index.cfm,,Confidential correspondence with clients,Health insurance expenses,Customer checks,Bank documents,Sales reports,Income Tax Return Information,Driver license,Reports of car accidents, including photographs of people after the incident,Tax Bills,Student ID Card,Passports,,https://anonfiles.com/JcpcTa1fzc/KIRWINLAW_4_7_23_part4_rar,https://anonfiles.com/t8zfT91czf/KIRWINLAW_4_7_23_part1_rar,https://anonfiles.com/u7zcT218z5/KIRWINLAW_4_7_23_part3_rar,https://anonfiles.com/vcz1Te18zf/KIRWINLAW_4_7_23_part2_rar"
81,"Jeff Wyler Automotive Family, Inc.","When you're looking for a new car or need to have your car serviced, come visit Jeff Wyler, one of the top rated car dealers in Ohio, Kentucky, and Indiana.  Whether you are looking to buy a new or used vehicle in Cincinnati, Dayton, Columbus or Louisville, need to have service completed on your vehicle, need auto parts and accessories, or body work that needs attention... You can trust your decision when you choose any one of our Jeff Wyler Dealerships. Our dealership reviews and testimonials attest to our long standing reputation, and we invite you to join the Jeff Wyler Family dealerships.

https://wyler.com/", 11.07.2023, 74142,"ng out negotiations so we start publishing the data.,Attaching the first demo,,For several weeks we have been trying to establish contact with this company, but they resist, each time postponing the deadline. It could have ended for them a long time ago, but they brought it to this point with their silence. They absolutely do not care about the fate of people whose data was taken from their file balls, on which they store everything from names to SSN. According to tradition, what was downloaded:,350 gigabytes of data including:,SSN - more than 8000 lines, from employees to customers,Bank statements and financial statements,Driving licenses, including the owner of the company and his family,Addresses, accounts, transactions, and the like.,And a fairly large number of different internal documentation.,The data will be posted on the site after the timer expires.,,https://anonfiles.com/z617q60bz4/JEFFWYLER_zip"
82,Polanglo,"Polanglo SP. z O.o. is a network of bookstores and wholesalers operating since 1991 with an educational and language profile. Thanks to the dynamic development, we have been appreciated by the largest university publishing house in the world – Oxford University Press. The Oxford University Press authorities have granted us the exclusive right to import our English Language Teaching materials into Poland, and we make every effort to make Oxford University Press language publications available throughout Poland.

https://www.polanglo.pl/", 10.07.2023, 66103,"Contracts and agreements,Insurance policies,Invoice,Income declarations,Financial documents,Accounting documents,Powers of attorney,Databases,And much more,,https://anonfiles.com/28ZaH713z6/POLANGLO_polanglo_pl_part2_rar,https://anonfiles.com/zcy2I016z5/POLANGLO_polanglo_pl_part1_rar"
83,CON-STRUCT,"Con-struct, Inc. proudly serves all heavy construction needs in Central Iowa, including Ames, Story County, Marshall County, and surrounding areas.

https://constructiowa.com", 03.07.2023, 68847,"r servers:,Construction schemes,Various calculation tables,Internal documents,Data about objects and roads,Projects,Receipts,Invoices,A huge number of accounting documents,Another,,Part of the downloaded files:,https://anonfiles.com/e6YfM6z5z2/Construct_192_168_0_part2_rar,https://anonfiles.com/L8m8N2z4z3/Construct_192_168_0_part1_rar"
84,PORTERROOFING,"""Porter Roofing has blueprinted an innovative culture throughout our company, placing special emphasis on the welfare and safety of everyone involved with any roofing project we undertake. We have provided OSHA’s 40-hour safety program and CPR training for all of our key employees so that every crew is staffed with at least one safety team leader. Although our safety program exceeds roofing industry standards, we continually seek ways to implement new ideas and procedures.

As our reputation continues to grow on a national scale, we realize that it is based on our past roofing projects. Therefore, we raise the bar for exceptional performance, job by job, year by year. We pledge our full support toward the successful completion of our clients’ roofing projects, and we will perform our services in your best interest with a great effort to maintain your trust and good will.""

http://www.porter-roofing.com/", 03.07.2023, 69016,"r servers:,Block diagrams,Projects,Data about objects and buildings,Confidentiality and Non-Disclosure Agreement,Correspondence,Seals,Internal documentation,Personal documents,Licenses,Contracts,Passports,Personal passwords,SSN Databases,Many other things,,Part of the downloaded files:,https://anonfiles.com/Naa7O2z7z5/PORTERROOFING_4_5_23_part1_rar,https://anonfiles.com/h9X8Nbz1zf/PORTERROOFING_4_5_23_part2_rar"
85,ISPE Connecting Pharmaceutical Knowledge,"ISPE, the International Society for Pharmaceutical Engineering, is the world's largest not-for-profit association serving its Members through leading scientific, technical and regulatory advancement throughout the entire pharmaceutical lifecycle. The 20,000 Members of ISPE are building solutions in the development and manufacture of safe and effective pharmaceutical and biologic medicines and medical delivery devices in more than 90 countries around the world. Founded in 1980, ISPE has its worldwide headquarters in Bethesda, Maryland, USA and the Operations and Training Center in Tampa, Florida, USA

https://ispe.org/", 03.07.2023, 69015,"ded to the server:,Forms W9,Receipts,Invoices,Financial documents,Personal documents,Seals,Internal documents,Driver's license,Card ID,Workbooks with personal data,Databases,Correspondence,A huge number of forms I-9,Many other files with personal data,,Part of the downloaded files:,https://anonfiles.com/Xal5N6zbz0/ISPE_part1_rar,https://anonfiles.com/C9naN9z1zd/ISPE_part2_rar,https://anonfiles.com/D4n3Nfz0zb/ISPE_part3_rar,https://anonfiles.com/698cNdzczc/ISPE_part4_rar,https://anonfiles.com/A4a0O7z1z9/ISPE_part5_rar,https://anonfiles.com/b7a0O1zezc/ISPE_part6_rar"
86,PNEUMAX,"PNEUMAX France has been located since 1993 on an area of 4000 m2 in the northern industrial zone of SELESTAT. It covers the territory of France, as well as French-speaking countries.
The recent acquisition of numerically controlled machines has increased production capacity due to guaranteed service and quality.
Design bureaus, machine builders for industry, assembly lines, robotics and manufacturing are industries interested in their products and services.

The wide range of PNEUMAX products makes it one of the market leaders.

https://pneumaxspa.com/pneumax-fr/", 03.07.2023, 68756,"r servers:,Invoice,Internal documents,Bank documents,Financial documents,Social Security numbers,Insurance documents,Employment contracts,Student agreements,Accounting documents,Identity cards,Other,,Part of the downloaded files:,https://anonfiles.com/03A7g7zazf/PNEUMAX_rar"
87,LEGALILAVORO,"Legalilavoro was born out of a federation of ten law firms already known for the history and specific experience of their founders and groups of young professionals coordinated by them: in total, about 70 lawyers working in the field of labor law, assembled today on the basis of elements of divisions that define its strong identity.

Their mission is to offer employees of any locality the opportunity to find legal services and consultations of the highest quality.

https://www.legalilavoro.it/", 03.07.2023, 68931,"r servers:,Identity cards,A huge number of personal files (correspondence, photos, personal data and much more),Invoice,Financial documents,Correspondence,Internal documents,Client documents,Medical certificates,Driver's license,and much more,,Part of the downloaded files:,,https://anonfiles.com/BfXfKcy5z6/LEGALILAVOVO_part02_rar,https://anonfiles.com/U2a1Lby7z0/LEGALILAVOVO_part01_rar,https://anonfiles.com/g074gfz8z3/LEGALILAVOVO_part05_rar,https://anonfiles.com/Z378gaz4z0/LEGALILAVOVO_part06_rar,https://anonfiles.com/7885g3z9z2/LEGALILAVOVO_part07_rar,https://anonfiles.com/8185gezazf/LEGALILAVOVO_part04_rar,https://anonfiles.com/A78cg2zbz1/LEGALILAVOVO_part08_rar,https://anonfiles.com/D682g0z1z6/LEGALILAVOVO_part03_rar"
88,Lysander Shipping,"Regularly exceptional for over 25 years

Lysander Shipping area is a well-established project forwarder, at the heart of everything we do is customer service, reliability and honesty. Your cargo for us is not just another booking, it is a matter of pride. We treat each shipment with the utmost care and attention that we know our customers require.

https://www.lysandershipping.com/", 03.07.2023, 70166,"r servers:,Invoices,Invoice and receipts,Internal documents,Bank documents,Commercial invoices,Insurance certificate,Contracts,SQL data,Financial documents,Accounting documents,Correspondence files,Other,,Part of the downloaded files:,https://anonfiles.com/rcCegfz0z2/LYSANDER_part3_rar,https://anonfiles.com/r1H9g5z7zf/LYSANDER_part1_rar,https://anonfiles.com/63H2gbzdz0/LYSANDER_part2_rar"
89,CLEAR MEDI HEALTHCARE,"ClearMedi Healthcare is a joint venture initiative of KOS S.P.A. Italy and Clear view Healthcare India.

Manage comprehensive clinical services

ClearMedi Healthcare is a fast-growing medical services organization providing excellent medical treatments across India. With more than 4 independent super-specialized hospitals in Delhi, North Carolina, and the Mysore region of India, and 15 partner hospitals specializing in oncology and tertiary care, ClearMedi Healthcare aims to become a leading healthcare organization and also serve underserved segments of society.

https://clearmedi.in/", 03.07.2023, 68836,"r servers:,Personal documents,Identity cards,Health insurance,Patient data (numbers\addresses\registration numbers and others),Patient databases,Personal data of employees,Internal documents,Accounts,Financial documents,A huge amount of personal data and databases,Other,,Part of the downloaded files:,https://anonfiles.com/R2t0K5yczd/clearmedi_part01_rar,https://anonfiles.com/Yeu8K8y3z4/clearmedi_part03_rar,https://anonfiles.com/85vfKcyfz0/clearmedi_part02_rar,https://anonfiles.com/rczfKeyez2/clearmedi_part04_rar,https://anonfiles.com/Af02K0y6za/clearmedi_part05_rar,https://anonfiles.com/UfGfK4y8z4/clearmedi_part06_rar,https://anonfiles.com/36HdK3yezb/clearmedi_part07_rar,https://anonfiles.com/MeL0Key8z3/clearmedi_part08_rar,https://anonfiles.com/i296Kdy9ze/clearmedi_part09_rar"
90,JOB-SA BETON J.O.B SA,"The company is specializing in the production of ready-mixed concrete for both personal needs and factory construction volumes. Address: 8, R. Jean-Jacques Rousseau Street, Imm. Appendix Rousseau 3.1 TUNIS MONPLAISIR

http://www.made-in-tunisia.net/vitrine/contact.php?tc1=lK2Rm6iT

http://job-beton.com/", 03.07.2023, 69058,"r servers:,Internal documents,Bank documents,Building schemes and projects,Identity cards,Financial documents,Invoice,Driver's license,Partner data,Other,,Part of the downloaded files:,https://anonfiles.com/v798Kcy1zc/JOBSA_rar"
91,PORTBLUE,"Port Blue Hotel Group is a chain of boutique hotels in ideal places to relax. Nevertheless, they do not know how to store personal data, especially the passports of their clients.

https://www.portbluehotels.com/en/", 26.06.2023, 72266,"sports and other personal data were downloaded,A small part of the files:,https://anonfiles.com/3bB4E5yez9/PORTBLUE_rar"
92,LOONGSON,"Loongson Technology keeps pace with international trends in the field of IT and focuses on the development of the industry and the construction of systems based on independent innovations. Until now, we have mastered the basic computing technologies in the field of designing the architecture of the processor instruction set (ISA) (LoongArch®), the IP core of the processor and the operating system. Based on this, they strive to create an independent and open hardware and software ecosystem and information industry system to provide independently developed, secure and reliable processors to meet national strategic needs, as well as high-performance, low-cost processors and basic software and hardware solutions to stimulate innovative development. But they could not protect their confidential data.

https://www.loongson.cn/EN", 26.06.2023, 71933,"information[MORE THAN 120 GB] (files, projects, tests, chips, patents, financing and a huge amount of other information) In general, the leakage of intellectual property,,A certain part of the files:,https://anonfiles.com/j8p9xdzdz1/LOONGSON_part01_rar,https://anonfiles.com/I2ocx7zdz1/LOONGSON_part02_rar,https://anonfiles.com/C1ocx0z8zb/LOONGSON_part03_rar,https://anonfiles.com/X4l7xdz8zc/LOONGSON_part04_rar"
93,Futura Agronegócios,"Futura Agronegócio, founded in 2003, has completed 17 years of work in the market, specializes in the integration of products and services
They work in the sales of agricultural protectors / seeds / foliar nutrition and fertilizers;
Futura Agronegocios, headquartered in Araguari/MG, has 8 business units and 1 industrial seed processing center located in the mining triangle and Southwest of Goiano.

https://futuraagro.com.br/", 26.06.2023, 71498,
94,BLUESAGE,"The ""Blue Sage"" is an indigenous Texas wildflower that is a hardy and upright plant able to survive in drought conditions. Like our namesake, we are set up to thrive in all varieties of investing environments. We are by nature generalists and seek to invest across a diverse range of industries.

https://www.bluesage.com/", 26.06.2023, 71394,"es:,Insurance policies,Financial documents,Internal documents,Loan and collateral agreements,Contracts,Invoices,Certificates,Employment contracts,Receipts,Revenue,Financial expertise,The company's portfolio,Fund estimates,Financial indicators,Database of numbers,Other,,A small part of the files:,https://anonfiles.com/D0vbEby1zc/BLUESAGE_rar,https://anonfiles.com/39p1Gdy5z3/BLUESAGE_part1_rar,https://anonfiles.com/8bz1G1y8z7/BLUESAGE_part2_rar,https://anonfiles.com/hcs7G0y7z9/BLUESAGE_part3_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,ONSUPPORT CORPORATION   -   onsupport.com"
95,"PrintGlobe, Inc.","Custom Printed Personalized Promotional Items and Products by PrintGlobe. Since 1995 PrintGlobe has been Your One Stop Shop for Wholesale, Custom Merchandise such as Promotional Items, Personalized Products and more. We are a Full Service Supplier of all Things Custom Printed. Learn More Today. PrintGlobe was founded in Austin, Texas in April 1995 as a small graphic design and printing company.

www.printglobe.com", 26.06.2023, 73182,"es:,Receipts,Invoices,Accounting files,Transactions,Databases email\phone,Internal documents,Certificates,Personal data,Other,,A small part of the files:,https://anonfiles.com/9fvbE7ydz6/PrintGlobe_rar,https://anonfiles.com/Y6u1Gdy4z4/PRINTGLOBE_part1_rar,https://anonfiles.com/s3c0H7y8z9/PRINTGLOBE_part2_rar,https://anonfiles.com/g2AdGaycz8/PRINTGLOBE_part3_rar,https://anonfiles.com/v7xbGfy3z8/PRINTGLOBE_part4_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,ONSUPPORT CORPORATION   -   onsupport.com"
96,"TARLE LAW, P.C.","Tarle Law is widely sought throughout CA and TX in a diverse range of industries, including construction defect, insurance defense and more. Tarle Law provides experienced litigation representation throughout Southern California and Central Texas.


https://www.tarlelaw.com/", 26.06.2023, 72743,"es:,Dossiers and photos to them,Agreements,A huge number of correspondence and personal data,Receipts,Medical records,Recordings of readings,Personal affairs,Financial documents,Recorded audio conversations,Insurance certificates,Witness statements,Internal documents,Confidential information,Other,,A small part of the files:,https://anonfiles.com/G8v4Eby3z9/Tarlelaw_rar,https://anonfiles.com/V7R5G1y0z1/Tarlela_part1_rar,https://anonfiles.com/X7P1G8y2z3/Tarlela_part2_rar,https://anonfiles.com/SdLaG9ydzb/Tarlela_part3_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,ONSUPPORT CORPORATION   -   onsupport.com"
97,Texas Hotel and Lodging Association,"Texas Hotel & Lodging Association

THLA is a nonprofit hotel trade association representing every aspect of the lodging industry across Texas. Learn about the benefits of being a member today! Representing over 5,000 members from the largest convention center hotels to the smallest B&Bs, the Texas Hotel & Lodging Association is the largest state lodging association in the nation. Advocating for and serving the Texas lodging industry since 1903. Governmental affairs representation, legal services lodging properties, website listings, endorsed vendor programs, and more.

https://texaslodging.com/", 26.06.2023, 72202,"es:,Financial documents,Confirmed budgets,Receipts,Invoices,Databases of numbers\email,Other,,A small part of the files:,https://anonfiles.com/HdvcE3y0zd/THLA_rar,https://anonfiles.com/W5a1Hayfzb/THLA_part1_rar,https://anonfiles.com/n6R9Gfy2zf/THLA_part2_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,ONSUPPORT CORPORATION   -   onsupport.com"
98,Onsupport Corporation,"Onsupport Corporation

Providing IT solutions since 1992, we strategize with clients to define the earth needs and give them a competitive edge in their industry. Free consultations. On support help small and mid-sized companies manage technology. On support provides: Managed Network Services, Hosting Services, and Application/Web Development Services. Whether On support is managing your network, or you are utilizing On support's hosted virtual network, On support allows you focus on what you do best - running your company. On support is made up of a top-notch team of industry professionals serving Central Texas forever 19 years.

onsupport.com", 26.06.2023, 72791,"es:,Receipts,Financial documents,Contracts,Forms W9,Internal documents,Personal data,Other,,A small part of the files:,https://anonfiles.com/A5vdEayfz5/ONSUPPORT_CORPORATION_rar,https://anonfiles.com/v4Y2Fey4z7/austin_part1_rar,https://anonfiles.com/x9Z9Fbydz2/austin_part2_rar,https://anonfiles.com/tdjeG3y1z9/austin_part3_rar,https://anonfiles.com/GeX6F9yfzc/austin_part4_rar"
99,The Akin Law LLC,"The Akin Law Firm provides services for virtually every legal need that your business may encounter. Our practice areas include: • Entity structuring and formation • Contract negotiation and preparation • Real estate transactions • Financing, including debt and equity • Employment and contractor matters • Trademarks and copyrights • Intellectual property transactions and licensing • Acquisitions • Business sales • Business litigation including trials, mediations, arbitrations, and appeals

http://theakinfirm.com/", 26.06.2023, 71088,"es:,Contracts,Appraisals of clients' real estate,Schemes,Insurance documents,Guarantees,Personal data,Financial documents,Purchase and sale agreements,Other,,A small part of the files:,https://anonfiles.com/82v4E1y5zb/Akinlaw_rar,https://anonfiles.com/Q3f4G1y5zd/Akinla_part1_rar,https://anonfiles.com/k2VeFeyczb/Akinla_part2_rar,https://anonfiles.com/fbS3Fby3zc/Akinla_part3_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,ONSUPPORT CORPORATION   -   onsupport.com"
